close_price_C,close_price_CL,close_price_ES,close_price_GC,close_price_NG,ret_C,ret_CL,ret_ES,ret_GC,ret_NG,log_rv5_scaled_C,log_rv5_scaled_CL,log_rv5_scaled_ES,log_rv5_scaled_GC,log_rv5_scaled_NG,rv5_C,rv5_CL,rv5_ES,rv5_GC,rv5_NG
339.875,70.275,1024.875,1000.6,4.431,-0.5867270223610849,0.3635201266076097,-2.529036523672023,-0.5481650243900319,-7.351134709873492,1.4383641584557412,2.0365683909518855,0.5966496902780625,-0.4942057489922146,2.9993510477109986,0.0004213797071599,0.0007664263265093,0.0001816024352903,6.100552519238885e-05,0.0020072506596513
333.625,69.7,1022.125,1003.15,4.7115,-1.8560295227946537,-0.8215799026117403,-0.26868604342004554,0.25452290721051923,6.138103644732135,1.1074451467408144,1.968083159167896,0.4368863984653793,0.72592767583008,3.1943219167820747,0.000302661594862,0.0007156944607979,0.0001547880225499,0.0002066647389814,0.002439362717376
344.875,70.57,1036.625,1019.05,4.9965,3.3164424812761863,1.2404807246260428,1.4086450289226444,1.572577160617849,5.873133865503318,1.9754988273387752,1.7081401015956676,0.11687243304942359,-0.4229131880762249,3.01126073054334,0.000721021540948,0.0005518687728021,0.0001123976038349,6.5513550421668e-05,0.0020312992999567
357.5,71.5,1050.875,1038.35,4.9145,3.5953329596612265,1.3092324687223231,1.3652906684093156,1.8762094056599399,-1.6547648295159916,2.709628837997043,1.2927072400638162,0.1308915115239721,0.4850392001376162,2.881494964522241,0.001502369825397,0.0003642634705698,0.0001139844114653,0.0001624238677976,0.0017840924802657
362.125,70.215,1062.875,1051.025,4.921,1.285409395545206,-1.8135486279818314,1.1354350250495642,1.2132963674708224,0.13217428592940592,1.3524553521171687,1.8239878188309058,0.2637667900508186,0.1951730391478434,2.4764607123866766,0.0003866908505898,0.0006196519843134,0.0001301824562457,0.0001215521301063,0.0011899075551913
361.5,71.205,1063.375,1046.95,4.9605,-0.1727414490695135,1.4001077251247287,0.04703115900918141,-0.388470322537052,0.7994780223978945,1.4076290499861481,1.5564791818644461,-0.21876109549351827,0.5715126144261546,2.976072496257576,0.0004086255601966,0.0004742095761964,8.035136582590133e-05,0.0001770943781605,0.0019610644317712
362.875,72.295,1068.375,1049.25,4.773,0.3796380745974573,1.5191929808698588,0.46909901901337236,0.2194447975374833,-3.8531504084060586,1.9915329397497163,1.4148254837115892,-0.5085374663777266,-0.16791170386744433,2.300442411383665,0.00073267566346,0.0004115768134716,6.013744663309165e-05,8.454284794542762e-05,0.0009978596122932
375.75,72.995,1071.125,1054.25,4.887,3.4865606288289968,0.963597517185363,0.25706955031008916,0.47539904129690586,2.360358026425825,1.4566579798199732,0.9440674059190327,-0.8334959638603332,-1.44596876269721,2.1070221034586556,0.0004291592944785,0.0002570415106541,4.3452753531836026e-05,2.3551780513915203e-05,0.0008223715411314
383.25,75.045,1078.375,1066.85,4.634,1.9763489118839719,2.7696987956334724,0.6745780407459975,1.1880767724223351,-5.315819227783309,1.976773344173725,1.4320273750965218,0.12766604042537977,0.6960391748622445,3.0199640463145347,0.0007219410809004,0.0004187179576156,0.0001136173503312,0.0002005792360304,0.0020490554959981
381.75,75.895,1087.625,1063.05,4.4785,-0.39215736531816914,1.1262872470544285,0.854114148944561,-0.35682464265179004,-3.4132257077071535,1.4548515635539943,0.93214044811182,-0.2482078109636213,-0.04755857509848535,2.714930063156476,0.0004283847539302,0.0002539939973096,7.801977927751598e-05,9.535546169411528e-05,0.0015103553740083
375.625,77.925,1090.625,1052.25,4.519,-1.6174638809269817,2.6396019574578244,0.2754506504603562,-1.0211406273694688,0.9002561496029541,1.7213656217468294,1.2903080765284003,-0.44665437232196115,0.1494176499051798,3.398441175096403,0.0005592160027521,0.0003633905904437,6.397649905546985e-05,0.0001161157845416,0.0029917427648529
387.0,79.935,1095.125,1065.6,4.914,3.9194873693841252,1.6015474724468566,1.171081121856263,1.2607292135444599,2.62888186947164,1.3335045885912122,1.0164202605663306,-0.06275694138461343,-0.6007213690162762,2.789195785030183,0.0003794317635891,0.0002763285196727,9.391717197272336e-05,5.484158831430964e-05,0.0016267931625499
367.375,77.11,1039.875,1032.45,5.0625,-1.5195294904734156,-2.907645968460567,-1.9050463020115278,-3.160340227364162,9.445721035288672,1.8173803740759618,1.3736046255389454,0.5382443610162632,-0.23500331850914713,5.727043436656546,0.0006155711648013,0.0003949561758485,0.0001712996816691,7.905682261164927e-05,0.0307060082422835
378.625,79.995,1061.375,1047.45,5.1045,3.0163144608319934,3.6731158875806083,2.0464723715475786,1.4424020447671166,0.826207119427548,1.523396864710724,1.082289155455092,0.12801335535566075,-0.22535940082704878,2.513441148166371,0.0004587782834195,0.0002951428101617,0.0001136568181868,7.982292829355179e-05,0.0012347346086084
367.0,77.005,1032.125,1045.2,5.018,-3.1184421292831046,-3.809377791024652,-2.794545358193488,-0.21503843136965675,-1.7091055682702545,1.618479159205225,1.1208682038098785,0.8534714447348273,-0.2727919599087872,2.5983014214316404,0.0005045411211499,0.0003067516276833,0.0002347782920457,7.612511419133428e-05,0.0013440888229714
379.375,78.05,1041.125,1064.15,4.841,3.316331375919247,1.347929215101234,0.8682075517911881,1.7968103762355383,-3.5910136986673122,2.0699730458490895,1.6415644290854745,1.2549242703255745,0.20044950010817167,2.5788413152855965,0.000792460951385,0.0005163240721131,0.0003507572736943,0.0001221951902243,0.0013181855692889
389.875,79.44,1044.875,1085.55,4.912,2.7301013114204684,1.7652372775475995,0.3595401763815611,1.9910412571433433,1.455987988728406,2.194562540953001,1.4296466554207414,0.7975155130752758,0.5471695674382181,2.181237580262356,0.0008976073533243,0.0004177222932045,0.0002220018464241,0.0001728354098389,0.000885726105006
385.0,79.785,1042.375,1088.15,4.7435,-1.2582840640183142,0.4333497125473344,-0.23954976121708035,0.2392235579829815,-3.490593099404684,1.314074361196666,1.1218986001353894,0.5636557042674213,0.5280536777129573,2.021997618187179,0.0003721304806411,0.0003070678663309,0.000175708415364,0.0001695628854638,0.0007553398679432
376.375,80.075,1061.625,1091.7,4.7695,-2.2657347485886343,0.3628178632831432,1.8298989693023844,0.3257107726147565,0.546621775233111,1.7113400683185989,1.0154579714322118,0.223413407199035,-0.0683315661838337,2.417801105461385,0.0005536375630361,0.0002760627396399,0.0001250337365374,9.339507557461e-05,0.0011221158023972
366.875,77.625,1066.375,1097.2,4.6045,-2.5564796219536974,-3.1074155241578993,0.44642931286855275,0.5025365777224287,-3.5207391423841066,1.2830858097653268,1.7036298845287878,0.4400726358241961,0.03146296560425231,1.8880200444199389,0.0003607755413185,0.0005493853294884,0.0001552820004776,0.0001031963156756,0.0006606275591232
381.625,79.055,1090.125,1102.15,4.6045,3.9417260472680926,1.825427250846567,2.202732231829091,0.4501337538898875,0.0,1.8429948539956593,0.9189112062222019,-0.5006735735971869,-0.421965722859097,2.5279239243436016,0.0006315423739306,0.000250655977698,6.06122254235381e-05,6.557565164667276e-05,0.0012527471142835
393.125,78.875,1093.125,1109.25,4.4895,2.968917639966303,-0.22794919007312997,0.27481982257167387,0.6421293656671915,-2.5292749200558458,2.381058310060994,1.4995603226156002,-0.3133281406174292,0.1045441395957521,2.207275566853497,0.001081634385433,0.0004479719006138,7.310099991359004e-05,0.0001110204396758,0.0009090915033309
392.5,79.29,1092.375,1119.4,4.4895,-0.15910902322418516,0.5247696422930376,-0.06863418251581399,0.9108716198240521,0.0,1.7299173758918727,0.9179984768632508,-0.24135898984570583,-0.031263166627031526,2.0326638234559353,0.0005640187873683,0.000250427301004,7.85559567855243e-05,9.69220473027852e-05,0.000763439597923
389.0,76.955,1088.375,1105.55,4.4095,-0.8957193604016829,-2.989118185239022,-0.3668466798928718,-1.2449878779094394,-1.798003263262767,2.239995270931104,1.2667260152736808,0.21843068750855157,0.06661403088724846,1.9891859510585808,0.0009393286865837,0.000354921344899,0.0001244122780389,0.0001068882842785,0.000730958098305
389.75,76.5225,1091.375,1119.1,4.4035,0.19261643194396544,-0.563602019648452,0.27526109821920913,1.2181842145816484,-0.13616250827213702,1.5968955562643612,1.3390666129616213,-0.32252921721244393,-0.30828646510238167,2.4722747344402327,0.0004937679856834,0.0003815480522739,7.243147690392753e-05,7.347048205687783e-05,0.0011849370389007
400.5,78.695,1103.125,1136.7,4.6105,2.72082585705281,2.799480576813141,1.070869199068982,1.560453686868337,4.593663173368177,1.0673807250797982,0.9779395033136717,-0.16121220075979228,-0.0293810970265621,2.5119709473924785,0.0002907753311472,0.0002658971790959,8.51111445447986e-05,9.710463310732906e-05,0.001232920634611
